System,Element,Suggest Solution,Effect,Malware Infections,Lost Devices,Note,Source
External Website,Remote access solution,SSH keys for engineers,0.23,-0.14,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Remote access solution,Zero Trust model,0.1,-0.07,-0.02,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Firewall and basic rules,Default deny inbound,0.79,-0.49,-0.3,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Firewall and basic rules,Geo-aware filtering,0.34,-0.26,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Firewall and basic rules,IPS integrated firewall,0.25,-0.16,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Wireless security,WPA3 Enterprise,0.41,-0.32,-0.24,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Wireless security,RADIUS authentication,0.38,-0.16,-0.25,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Wireless security,Guest WiFi segmentation,0.69,-0.41,-0.47,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,VLAN configuration,DMZ for external services,0.74,-0.52,-0.38,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,VLAN configuration,Isolate payment systems,0.14,-0.1,-0.06,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,VLAN configuration,ACL-controlled inter-VLAN,0.42,-0.29,-0.22,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Laptop security configuration,Full disk encryption,0.81,-0.34,-0.35,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Laptop security configuration,EDR Malware protection,0.72,-0.4,-0.5,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Laptop security configuration,Remote wipe,0.75,-0.52,-0.3,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Application policy,Allowlist software,0.47,-0.2,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Application policy,Version management,0.89,-0.37,-0.57,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Application policy,Periodic software audits,0.67,-0.51,-0.42,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Security and privacy policy,Data retention rules,0.68,-0.29,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Security and privacy policy,USB restriction,0.42,-0.31,-0.21,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Security and privacy policy,Phishing awareness training,0.75,-0.56,-0.35,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Intrusion detection or prevention,SIEM alerts,0.89,-0.63,-0.4,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Intrusion detection or prevention,Endpoint monitoring,0.77,-0.56,-0.27,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Intrusion detection or prevention,Database activity monitoring,0.8,-0.42,-0.29,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Authentication system,SSO with MFA,0.56,-0.23,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Authentication system,RBAC permissions,0.46,-0.36,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Authentication system,Password rotation policy,0.61,-0.34,-0.26,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,External website security,HTTPS/TLS enforcement,0.45,-0.33,-0.13,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,External website security,WAF deployment,0.55,-0.24,-0.34,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,External website security,Secure coding review,0.48,-0.2,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Internal website security,Local network access only,0.7,-0.5,-0.42,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Internal website security,Access logs monitoring,0.89,-0.56,-0.5,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Internal website security,MFA on internal apps,0.18,-0.12,-0.08,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Remote access solution,VPN full tunnel,0.34,-0.14,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Remote access solution,SSH keys for engineers,0.58,-0.33,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Remote access solution,Zero Trust model,0.8,-0.6,-0.49,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Firewall and basic rules,Default deny inbound,0.52,-0.34,-0.13,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Firewall and basic rules,Geo-aware filtering,0.76,-0.52,-0.33,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Firewall and basic rules,IPS integrated firewall,0.22,-0.09,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Wireless security,WPA3 Enterprise,0.42,-0.27,-0.17,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Wireless security,RADIUS authentication,0.63,-0.37,-0.13,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Wireless security,Guest WiFi segmentation,0.15,-0.12,-0.04,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,VLAN configuration,DMZ for external services,0.81,-0.56,-0.43,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,VLAN configuration,Isolate payment systems,0.37,-0.26,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,VLAN configuration,ACL-controlled inter-VLAN,0.59,-0.45,-0.4,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Laptop security configuration,Full disk encryption,0.13,-0.1,-0.05,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Laptop security configuration,EDR Malware protection,0.26,-0.12,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Laptop security configuration,Remote wipe,0.35,-0.21,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Application policy,Allowlist software,0.69,-0.39,-0.44,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Application policy,Version management,0.34,-0.19,-0.21,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Application policy,Periodic software audits,0.38,-0.3,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Security and privacy policy,Data retention rules,0.56,-0.38,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Security and privacy policy,USB restriction,0.52,-0.41,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Security and privacy policy,Phishing awareness training,0.63,-0.35,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Intrusion detection or prevention,SIEM alerts,0.15,-0.11,-0.06,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Intrusion detection or prevention,Endpoint monitoring,0.66,-0.52,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Internal Intranet Website,Intrusion detection or prevention,Database activity monitoring,0.76,-0.42,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Authentication system,SSO with MFA,0.33,-0.13,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Authentication system,RBAC permissions,0.61,-0.28,-0.4,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Authentication system,Password rotation policy,0.3,-0.21,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,External website security,HTTPS/TLS enforcement,0.69,-0.3,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,External website security,WAF deployment,0.16,-0.08,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,External website security,Secure coding review,0.58,-0.38,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Internal website security,Local network access only,0.21,-0.14,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Internal website security,Access logs monitoring,0.79,-0.41,-0.48,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Internal website security,MFA on internal apps,0.47,-0.34,-0.28,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Remote access solution,VPN full tunnel,0.47,-0.36,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Remote access solution,SSH keys for engineers,0.16,-0.1,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Remote access solution,Zero Trust model,0.82,-0.62,-0.25,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Firewall and basic rules,Default deny inbound,0.57,-0.44,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Firewall and basic rules,Geo-aware filtering,0.82,-0.35,-0.27,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Firewall and basic rules,IPS integrated firewall,0.81,-0.47,-0.43,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Wireless security,WPA3 Enterprise,0.61,-0.48,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Wireless security,RADIUS authentication,0.4,-0.2,-0.17,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Wireless security,Guest WiFi segmentation,0.21,-0.12,-0.08,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,VLAN configuration,DMZ for external services,0.85,-0.36,-0.33,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,VLAN configuration,Isolate payment systems,0.63,-0.3,-0.27,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,VLAN configuration,ACL-controlled inter-VLAN,0.22,-0.15,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Laptop security configuration,Full disk encryption,0.18,-0.11,-0.06,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Laptop security configuration,EDR Malware protection,0.76,-0.41,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Laptop security configuration,Remote wipe,0.16,-0.12,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Application policy,Allowlist software,0.27,-0.14,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Application policy,Version management,0.83,-0.56,-0.44,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Application policy,Periodic software audits,0.11,-0.08,-0.02,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Security and privacy policy,Data retention rules,0.4,-0.27,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Security and privacy policy,USB restriction,0.46,-0.2,-0.29,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Security and privacy policy,Phishing awareness training,0.78,-0.57,-0.3,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Intrusion detection or prevention,SIEM alerts,0.31,-0.2,-0.08,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Intrusion detection or prevention,Endpoint monitoring,0.18,-0.11,-0.05,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Intrusion detection or prevention,Database activity monitoring,0.42,-0.31,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,SSO with MFA,0.79,-0.41,-0.25,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,RBAC permissions,0.57,-0.36,-0.2,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,Password rotation policy,0.15,-0.06,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,HTTPS/TLS enforcement,0.87,-0.43,-0.22,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,WAF deployment,0.26,-0.19,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,Secure coding review,0.13,-0.09,-0.04,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,Local network access only,0.63,-0.33,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,Access logs monitoring,0.85,-0.35,-0.54,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,MFA on internal apps,0.76,-0.4,-0.41,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,VPN full tunnel,0.29,-0.14,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,SSH keys for engineers,0.74,-0.39,-0.46,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,Zero Trust model,0.88,-0.69,-0.53,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,Default deny inbound,0.61,-0.48,-0.4,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,Geo-aware filtering,0.83,-0.41,-0.28,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,IPS integrated firewall,0.12,-0.08,-0.03,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,WPA3 Enterprise,0.81,-0.59,-0.51,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,RADIUS authentication,0.12,-0.07,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,Guest WiFi segmentation,0.57,-0.43,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,DMZ for external services,0.87,-0.47,-0.52,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,Isolate payment systems,0.35,-0.17,-0.24,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,ACL-controlled inter-VLAN,0.52,-0.38,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,Full disk encryption,0.41,-0.19,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,EDR Malware protection,0.58,-0.36,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,Remote wipe,0.77,-0.5,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Allowlist software,0.58,-0.3,-0.29,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Version management,0.22,-0.16,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Periodic software audits,0.86,-0.38,-0.56,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,Data retention rules,0.66,-0.51,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,USB restriction,0.23,-0.13,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,Phishing awareness training,0.46,-0.27,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,SIEM alerts,0.62,-0.49,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,Endpoint monitoring,0.88,-0.55,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,Database activity monitoring,0.71,-0.4,-0.17,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Authentication system,SSO with MFA,0.79,-0.56,-0.26,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
